Protein	Protein_name	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03
Q9H6Y2	WDR55_HUMAN	3124757.273	2876974.759	3214443.582	3600993.341	2559958.57	2561848.031
O00461	GOLI4_HUMAN	1888715.201	1833271.911	2430744.367	1988938.492	2841828.375	1322819.617
P27798	CALR_CAEEL	84425667.46	81799852.3	75650065.72	114715064.3	102425376	112881587.7
Q21732	Q21732_CAEEL	14627442.41	11534036.19	16258746.7	24040693.04	15538059.82	16372444.78
O15357	SHIP2_HUMAN	7871815.239	7496432.62	6472096.924	7974094.108	7871487.145	7493869.187
Q07478	SUB2_YEAST	20438970.94	21827461.79	18916343.3	10677541.1	10220833.91	11547447.69
P32449	AROG_YEAST	29323314.19	28612654.99	28965947	15294736.67	13952214.9	15901335.67
P84103	SRSF3_HUMAN	153418614.8	147155675.4	148386402.6	152173082.9	150208179.4	162524650.2
O62107	O62107_CAEEL	3827764.369	3326023.623	4097374.704	4242036.779	5203965.185	4847105.006
Q9NXH9	TRM1_HUMAN	10387658.17	9808201.491	11029701.39	11076651.28	11116718.06	11370393.46
P32468	CDC12_YEAST	4884768.273	4840833.997	5027803.13	2608860.886	2303759.137	2441349.882
O15145	ARPC3_HUMAN	16907111.14	16180827.82	14228891.12	17488161.41	16491043.41	16005673.53
Q96EI5	TCAL4_HUMAN	6073440.493	6129261.06	5975546.99	6903082.873	5542854.205	5885831.072
P39940	RSP5_YEAST	5528906.108	6195000.772	4783544.183	3146259.035	3232099.663	2795227.147
Q9BRJ6	CG050_HUMAN	9434607.575	8388295.474	8943223.441	10369803.45	8995620.606	7815261.099
P07342	ILVB_YEAST	33553764.94	29067512.55	32029819.52	16876482.41	17084520.78	16393234.76
P22307	NLTP_HUMAN	14284096.9	13371834.31	12158051.9	13569379.26	12771143.1	13786109.68
Q9BW61	DDA1_HUMAN	1728461.981	1469574.69	1844790.128	1990305.11	1912657.051	1604102.546
P02309	H4_YEAST	65115446.14	68003298.54	62797500.85	39817773.25	45168271.66	40069625.36
O75718	CRTAP_HUMAN	4867852.651	4675305.102	4978455.983	5331011.708	5121426.574	5349845.625
P0CX37	RS6A_YEAST	79086733.75	81452890.74	87890254.62	43897448.02	51036575.32	49585412.62
G5EFF8	G5EFF8_CAEEL	5710795.159	5280779.738	4589626.057	7489493.567	6303873.565	6718138.986
Q13546	RIPK1_HUMAN	1311842.865	563031.698	1160303.477	1353307.874	772388.401	1067658.261
P17649	GABAT_YEAST	28759356.74	27021376.34	25508764.92	14395348.37	14560581.68	12731242.18
P37108	SRP14_HUMAN	49925754.95	50411933.87	53469098.22	55748561.79	54207431.07	57518915.63
P34345	GSTO1_CAEEL	865984.0887	2108118.155	NA	2761861.979	1836322.079	2724721.063
